"Municipality","Info","Portal","Notes"
"Richfield","https://www.richfieldmn.gov/departments/community_development/permits,_inspections___licenses/index.php","https://www5.citizenserve.com/richfield"
"Minneapolis","https://www.minneapolismn.gov/business-services/licenses-permits-inspections/construction-permits/","https://apps.ci.minneapolis.mn.us/PermitAppPILOT"
"Alexandria","","https://epermits.logis.org/home.aspx?city=ax"
"Apple Valley","","https://epermits.logis.org/home.aspx?city=av"
"Crystal","","https://epermits.logis.org/home.aspx?city=cy"
"Eden Prairie","","https://epermits.logis.org/home.aspx?city=ep"
"Edina","","https://epermits.logis.org/home.aspx?city=ed"
"Farmington","","https://epermits.logis.org/home.aspx?city=fa"
"Golden Valley","","https://epermits.logis.org/home.aspx?city=gv"
"Le Sueur","","https://epermits.logis.org/home.aspx?city=ls"
"Maple Grove","","https://epermits.logis.org/home.aspx?city=mg"
"Minnetonka","","https://epermits.logis.org/home.aspx?city=mi"
"Ramsey","","https://epermits.logis.org/home.aspx?city=ra"
"Savage","","https://epermits.logis.org/home.aspx?city=sa"
"South St. Paul","","https://epermits.logis.org/home.aspx?city=ss"
"St. Louis Park","","https://epermits.logis.org/home.aspx?city=sl"
"Waconia","","https://epermits.logis.org/home.aspx?city=wa"
"White Bear Lake","","https://epermits.logis.org/home.aspx?city=wb"
"Blaine","","https://blaine.ims16.com/ims"
"Osseo","https://www.osseomn.gov/building-permits-and-inspections","https://rrc.baselinegov.com"
"Mounds View","https://www.moundsviewmn.org/government/city_departments/community_development/building_information.php","https://bsaonline.com/Home/Index?uid=3008"
"Wayzata","https://www.wayzata.org/193/Building-Inspection","https://forms.wayzata.org/Forms/PermitApplication","No online portal for status/inspections, but you can apply for a permit via an online form. For roofing permits: No plan review is required. Email roof deck and underlayment pictures to permits@wayzata.org and someone will reach out to schedule the final inspection."
